Number,Color scheme,Color,Item,Gender,Have Image?
21,1,yellow,iron,F,1
21,1,red,iron,F,1
21,1,white,iron,F,1
22,1,blue,armchair,F,1
22,1,yellow,armchair,F,1
22,1,red,armchair,F,1
22,1,white,armchair,F,1
23,1,blue,magnifyingglass,F,1
23,1,yellow,magnifyingglass,F,1
23,1,red,magnifyingglass,F,1
23,1,white,magnifyingglass,F,1
24,1,blue,lamp,F,1
24,1,yellow,lamp,F,1
24,1,red,lamp,F,1
24,1,white,lamp,F,1
25,1,red,fence,F,1
25,1,white,fence,F,1
25,1,yellow,fence,F,1
25,1,blue,fence,F,1
26,1,red,crown,F,1
26,1,white,crown,F,1
26,1,yellow,crown,F,1
26,1,blue,crown,F,1
27,2,purple,bench,F,1
27,2,green,bench,F,1
27,2,orange,bench,F,1
27,2,black,bench,F,1
28,2,purple,die,F,1
28,2,green,die,F,1
28,2,orange,die,F,1
28,2,black,die,F,1
29,2,purple,spoon,F,1
29,2,green,spoon,F,1
29,2,orange,spoon,F,1
29,2,black,spoon,F,1
30,2,purple,fork,F,1
30,2,green,fork,F,1
30,2,orange,fork,F,1
30,2,black,fork,F,1
31,2,purple,ribbon,F,1
31,2,green,ribbon,F,1
31,2,orange,ribbon,F,1
31,2,black,ribbon,F,1
32,2,purple,camera,F,1
32,2,green,camera,F,1
32,2,orange,camera,F,1
32,2,black,camera,F,1
33,2,purple,glove,F,1
33,2,green,glove,F,1
33,2,orange,glove,F,1
33,2,black,glove,F,1
34,2,purple,shovel,F,1
34,2,green,shovel,F,1
34,2,orange,shovel,F,1
34,2,black,shovel,F,1
25,2,purple,dresser,F,1
35,2,purple,dresser,F,1
35,2,green,dresser,F,1
35,2,orange,dresser,F,1
36,2,black,slipper,F,1
36,2,purple,slipper,F,1
36,2,green,slipper,F,1
36,2,orange,slipper,F,1
37,2,black,vase,F,1
37,2,purple,vase,F,1
37,2,green,vase,F,1
37,2,orange,vase,F,1
38,2,black,ladle,F,1
38,2,purple,ladle,F,1
38,2,green,ladle,F,1
38,2,orange,ladle,F,1
39,2,black,purse,F,1
39,2,purple,purse,F,1
39,2,orange,purse,F,1
39,2,green,purse,F,1
40,2,orange,box,F,1
40,2,black,box,F,1
40,2,purple,box,F,1
40,2,green,box,F,1
41,2,orange,sock,F,1
41,2,black,sock,F,1
41,2,purple,sock,F,1
41,2,green,sock,F,1
42,2,orange,tie,F,1
42,2,black,tie,F,1
42,2,purple,tie,F,1
42,2,green,tie,F,1
43,2,orange,necklace,F,1
43,2,black,necklace,F,1
43,2,purple,necklace,F,1
43,2,purple,necklace,F,1
44,2,green,cake,F,1
44,2,orange,cake,F,1
44,2,black,cake,F,1
44,2,purple,cake,F,1
45,2,green,seashell,F,1
45,2,orange,seashell,F,1
45,2,black,seashell,F,1
45,2,purple,seashell,F,1
46,2,green,fish,F,1
46,2,orange,fish,F,1
46,2,black,fish,F,1
46,2,purple,fish,F,1
47,2,green,bonbon,F,1
47,2,orange,bonbon,F,1
47,2,black,bonbon,F,1
47,2,purple,bonbon,F,1
48,2,purple,basket,F,1
48,2,green,basket,F,1
48,2,orange,basket,F,1
48,2,black,basket,F,1
49,2,purple,duck,F,1
49,2,green,duck,F,1
49,2,orange,duck,F,1
49,2,black,duck,F,1
50,2,purple,bowl,F,1
50,2,green,bowl,F,1
50,2,orange,bowl,F,1
50,2,black,bowl,F,1
51,2,black,boot,F,1
51,2,orange,boot,F,1
51,2,green,boot,F,1
51,2,purple,boot,F,1
52,2,black,Whistle,F,1
52,2,orange,Whistle,F,1
52,2,green,Whistle,F,1
52,2,purple,Whistle,F,1
1,1,white,wallet,M,1
1,1,blue,wallet,M,1
1,1,red,wallet,M,1
1,1,yellow,wallet,M,1
2,1,white,balloon,M,1
2,1,blue,balloon,M,1
2,1,red,balloon,M,1
2,1,yellow,balloon,M,1
3,1,white,belt,M,1
3,1,blue,belt,M,1
3,1,red,belt,M,1
3,1,yellow,belt,M,1
4,1,white,bike,M,1
4,1,blue,bike,M,1
4,1,red,bike,M,1
4,1,yellow,bike,M,1
5,1,white,butterfly,M,1
5,1,blue,butterfly,M,1
5,1,red,butterfly,M,1
5,1,yellow,butterfly,M,1
6,1,white,cap,M,1
6,1,blue,cap,M,1
6,1,red,cap,M,1
6,1,yellow,cap,M,1
7,1,white,coathanger,M,1
7,1,blue,coathanger,M,1
7,1,red,coathanger,M,1
7,1,yellow,coathanger,M,1
8,1,white,comb,M,1
8,1,blue,comb,M,1
8,1,red,comb,M,1
8,1,yellow,comb,M,1
9,1,white,cushion,M,1
9,1,blue,cushion,M,1
9,1,red,cushion,M,1
9,1,yellow,cushion,M,1
10,1,white,flower,M,1
10,1,blue,flower,M,1
10,1,red,flower,M,1
10,1,yellow,flower,M,1
11,1,white,frame,M,1
11,1,blue,frame,M,1
11,1,red,frame,M,1
11,1,yellow,frame,M,1
12,1,white,phone,M,1
12,1,blue,phone,M,1
12,1,red,phone,M,1
12,1,yellow,phone,M,1
13,1,white,rug,M,1
13,1,blue,rug,M,1
13,1,red,rug,M,1
13,1,yellow,rug,M,1
14,1,white,scarf,M,1
14,1,blue,scarf,M,1
14,1,red,scarf,M,1
14,1,yellow,scarf,M,1
15,1,white,ring,M,1
15,1,blue,ring,M,1
15,1,red,ring,M,1
15,1,yellow,ring,M,1
16,1,white,clock,M,1
16,1,blue,clock,M,1
16,1,red,clock,M,1
16,1,yellow,clock,M,1
17,1,white,fryingpan,M,1
17,1,blue,fryingpan,M,1
17,1,red,fryingpan,M,1
17,1,yellow,fryingpan,M,1
18,1,white,present,M,1
18,1,blue,present,M,1
18,1,red,present,M,1
18,1,yellow,present,M,1
19,1,white,bed,M,1
19,1,blue,bed,M,1
19,1,red,bed,M,1
19,1,yellow,bed,M,1
20,1,white,calculator,M,1
20,1,blue,calculator,M,1
20,1,red,calculator,M,1
20,1,yellow,calculator,M,1
21,1,white,mouse,M,1
21,1,blue,mouse,M,1
21,1,red,mouse,M,1
21,1,yellow,mouse,M,1
22,1,white,ruler,M,1
22,1,blue,ruler,M,1
22,1,red,ruler,M,1
22,1,yellow,ruler,M,1
23,1,white,key,M,1
23,1,blue,key,M,1
23,1,red,key,M,1
23,1,yellow,key,M,1
24,1,white,table,M,1
24,1,blue,table,M,1
24,1,red,table,M,1
24,1,yellow,table,M,1
25,1,white,switch,M,1
25,1,yellow,switch,M,1
25,1,blue,switch,M,1
25,1,red,switch,M,1
26,1,white,sword,M,1
26,1,yellow,sword,M,1
26,1,blue,sword,M,1
26,1,red,sword,M,1
27,2,purple,plate,M,1
27,2,green,plate,M,1
27,2,orange,plate,M,1
27,2,black,plate,M,1
28,2,purple,radio,M,1
28,2,green,radio,M,1
28,2,orange,radio,M,1
28,2,black,radio,M,1
29,2,purple,truck,M,1
29,2,green,truck,M,1
29,2,orange,truck,M,1
29,2,black,truck,M,1
30,2,purple,TV,M,1
30,2,green,TV,M,1
30,2,orange,TV,M,1
30,2,black,TV,M,1
31,2,purple,Calendar,M,1
31,2,green,calendar,M,1
31,2,orange,Calendar,M,1
31,2,black,calendar,M,1
32,2,purple,piano,M,1
32,2,green,piano,M,1
32,2,orange,piano,M,1
32,2,black,piano,M,1
33,2,purple,luggage,M,1
33,2,green,luggage,M,1
33,2,orange,luggage,M,1
33,2,black,luggage,M,1
34,2,purple,airplane,M,1
34,2,green,airplane,M,1
34,2,orange,airplane,M,1
34,2,black,airplane,M,1
25,2,purple,helicopter,M,1
35,2,green,helicopter,M,1
35,2,orange,helicopter,M,1
35,2,black,helicopter,M,1
36,2,purple,drum,M,1
36,2,green,drum,M,1
36,2,orange,drum,M,1
36,2,black,drum,M,1
37,2,purple,umbrella,M,1
37,2,green,umbrella,M,1
37,2,orange,umbrella,M,1
37,2,black,umbrella,M,1
38,2,purple,knife,M,1
38,2,green,knife,M,1
38,2,orange,knife,M,1
38,2,black,knife,M,1
39,2,purple,robot,M,1
39,2,green,robot,M,1
39,2,orange,robot,M,1
39,2,black,robot,M,1
40,2,purple,microscope,M,1
40,2,green,microscope,M,1
40,2,orange,microscope,M,1
40,2,black,microscope,M,1
41,2,purple,shield,M,1
41,2,green,shield,M,1
41,2,orange,shield,M,1
41,2,black,shield,M,1
42,2,purple,bandaid,M,1
42,2,green,bandaid,M,1
42,2,orange,bandaid,M,1
42,2,black,bandaid,M,1
43,2,purple,binoculars,M,1
43,2,green,binoculars,M,1
43,2,orange,binoculars,M,1
43,2,black,binoculars,M,1
44,2,purple,hammer,M,1
44,2,green,hammer,M,1
44,2,orange,hammer,M,1
44,2,black,hammer,M,1
45,2,purple,tent,M,1
45,2,green,tent,M,1
45,2,orange,tent,M,1
45,2,black,tent,M,1
46,2,purple,lock (katanac),M,1
46,2,green,lock,M,1
46,2,orange,lock (katanac),M,1
46,2,black,lock,M,1
47,2,purple,lipstick,M,1
47,2,green,lipstick,M,1
47,2,orange,lipstick,M,1
47,2,black,lipstick,M,1
48,2,purple,razor,M,1
48,2,green,razor,M,1
48,2,orange,razor,M,1
48,2,black,razor,M,1
49,2,purple,remotecontrol,M,1
49,2,green,remotecontrol,M,1
49,2,orange,remotecontrol,M,1
49,2,black,remotecontrol,M,1
50,2,purple,rope,M,1
50,2,green,rope,M,1
50,2,orange,rope,M,1
50,2,black,rope,M,1
51,2,black,sponge,M,1
51,2,purple,sponge,M,1
51,2,green,sponge,M,1
51,2,orange,sponge,M,1
52,2,black,screwdriver,M,1
52,2,purple,screwdriver,M,1
52,2,green,screwdriver,M,1
52,2,orange,screwdriver,M,1
